language,fraction
C,0.1039815349105597
Java,0.11079053664166183
Python,0.2637045585689555
C++,0.12279284477784187
C#,0.05747259088286208
Visual Basic,0.02250432775533756
JavaScript,0.042815926139642226
PHP,0.016964800923254468
R,0.01177149451817657
SQL,0.02238892094633583
Go,0.027120600115406804
Swift,0.013156376226197341
Perl,0.007847663012117714
Assembly Language,0.011194460473167914
Ruby,0.012463935372186957
MATLAB,0.014772071552221579
Groovy,0.0016156953260242353
Rust,0.013502596653202536
Objective-C,0.004616272360069243
Dart,0.006116560877091747
Classic VisualBasic,0.009463358338141948
PL/SQL,0.0026543566070398148
Delphi/Object Pascal,0.0170802077322562
Transact-SQL,0.006001154068090016
Fortran,0.02273514137334102
Prolog,0.009347951529140218
Lua,0.005539526832083091
Scratch,0.01281015579919215
COBOL,0.009924985574148872
Julia,0.006231967686093479
Kotlin,0.010617426428159259
